,feature,importance
115,pcm_fftMag_mfcc_sma[7]_amean,0.0
116,pcm_fftMag_mfcc_sma[8]_stddev,0.0
118,pcm_fftMag_mfcc_sma[9]_stddev,0.0
66,audSpec_Rfilt_sma[23]_stddev,0.0
119,pcm_fftMag_mfcc_sma[9]_amean,0.0
120,pcm_fftMag_mfcc_sma[10]_stddev,0.0
121,pcm_fftMag_mfcc_sma[10]_amean,0.0
122,pcm_fftMag_mfcc_sma[11]_stddev,0.0
123,pcm_fftMag_mfcc_sma[11]_amean,0.0
124,pcm_fftMag_mfcc_sma[12]_stddev,0.0
125,pcm_fftMag_mfcc_sma[12]_amean,0.0
126,pcm_fftMag_mfcc_sma[13]_stddev,0.0
127,pcm_fftMag_mfcc_sma[13]_amean,0.0
128,pcm_fftMag_mfcc_sma[14]_stddev,0.0
129,pcm_fftMag_mfcc_sma[14]_amean,0.0
1,F0final_sma_amean,0.0
131,F0final_sma_de_amean,0.0
102,pcm_fftMag_mfcc_sma[1]_stddev,0.0
101,pcm_fftMag_spectralHarmonicity_sma_amean,0.0
100,pcm_fftMag_spectralHarmonicity_sma_stddev,0.0
99,pcm_fftMag_psySharpness_sma_amean,0.0
67,audSpec_Rfilt_sma[23]_amean,0.0
68,audSpec_Rfilt_sma[24]_stddev,0.0
69,audSpec_Rfilt_sma[24]_amean,0.0
70,audSpec_Rfilt_sma[25]_stddev,0.0
71,audSpec_Rfilt_sma[25]_amean,0.0
72,pcm_fftMag_fband250-650_sma_stddev,0.0
73,pcm_fftMag_fband250-650_sma_amean,0.0
74,pcm_fftMag_fband1000-4000_sma_stddev,0.0
76,pcm_fftMag_spectralRollOff25.0_sma_stddev,0.0
77,pcm_fftMag_spectralRollOff25.0_sma_amean,0.0
78,pcm_fftMag_spectralRollOff50.0_sma_stddev,0.0
79,pcm_fftMag_spectralRollOff50.0_sma_amean,0.0
80,pcm_fftMag_spectralRollOff75.0_sma_stddev,0.0
81,pcm_fftMag_spectralRollOff75.0_sma_amean,0.0
82,pcm_fftMag_spectralRollOff90.0_sma_stddev,0.0
83,pcm_fftMag_spectralRollOff90.0_sma_amean,0.0
84,pcm_fftMag_spectralFlux_sma_stddev,0.0
86,pcm_fftMag_spectralCentroid_sma_stddev,0.0
87,pcm_fftMag_spectralCentroid_sma_amean,0.0
88,pcm_fftMag_spectralEntropy_sma_stddev,0.0
90,pcm_fftMag_spectralVariance_sma_stddev,0.0
92,pcm_fftMag_spectralSkewness_sma_stddev,0.0
93,pcm_fftMag_spectralSkewness_sma_amean,0.0
94,pcm_fftMag_spectralKurtosis_sma_stddev,0.0
96,pcm_fftMag_spectralSlope_sma_stddev,0.0
97,pcm_fftMag_spectralSlope_sma_amean,0.0
98,pcm_fftMag_psySharpness_sma_stddev,0.0
259,pcm_fftMag_mfcc_sma_de[14]_amean,0.0
